Title,Card Path,Match Status,Citation Count,Citation Source,Checked Date,Source Identifier,Match Rule
BridgeVLA: Input-Output Alignment for Efficient 3D Manipulation Learning with Vision-Language Models,02_Papers/01_VLA/BridgeVLA.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4415272059,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
COMBO-Grasp: Learning Constraint-Based Manipulation for Bimanual Occluded Grasping,02_Papers/03_Bimanual/COMBO-Grasp.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4407569722,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Closed-Loop Visuomotor Control with Generative Expectation for Robotic Manipulation,02_Papers/07_Generalization_LongHorizon/Closed-Loop_Visuomotor_Control_with_Generative_Expectation_for_Robotic_Manipulation.md,matched,10,OpenAlex,2026-09-23,https://openalex.org/W4415800541,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,02_Papers/01_VLA/CoT-VLA.md,matched,57,OpenAlex,2026-09-23,https://openalex.org/W4413156213,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Constrained Bimanual Planning with Analytic Inverse Kinematics,02_Papers/03_Bimanual/Constrained_Bimanual_Planning.md,matched,11,OpenAlex,2026-09-23,https://openalex.org/W4401415458,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Cross-Embodiment Dexterous Grasping with Reinforcement Learning,02_Papers/04_Dexterous/Cross-Embodiment_Dexterous_Grasping_with_Reinforcement_Learning.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4403883977,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset,02_Papers/10_Benchmark_Dataset/DROID.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Demystifying Robot Diffusion Policies: Action Memorization and a Simple Lookup Table Alternative,02_Papers/06_Diffusion_Flow_IL_RL/Demystifying_Robot_Diffusion_Policies_Action_Memorization_and_a_Simple_Lookup_Table_Altern.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
DexCap: Scalable and Portable Mocap Data Collection System for Dexterous Manipulation,02_Papers/08_Data_Teleoperation/DexCap.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
DexH2R: A Benchmark for Dynamic Dexterous Grasping in Human-to-Robot Handover,02_Papers/10_Benchmark_Dataset/DexH2R.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W7160048141,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DexHandDiff: Interaction-aware Diffusion Planning for Adaptive Dexterous Manipulation,02_Papers/04_Dexterous/DexHandDiff.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W4413146641,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DexTrack: Towards Generalizable Neural Tracking Control for Dexterous Manipulation from Human References,02_Papers/04_Dexterous/DexTrack.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4407590583,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DexUMI: Using Human Hand as the Universal Manipulation Interface for Dexterous Manipulation,02_Papers/04_Dexterous/DexUMI.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4416623172,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DexVLG: Dexterous Vision-Language-Grasp Model at Scale,02_Papers/04_Dexterous/DexVLG.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4417183400,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DextER: Language-driven Dexterous Grasp Generation with Embodied Reasoning,02_Papers/04_Dexterous/DextER.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7125566978,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Dexterous Grasp Transformer,02_Papers/04_Dexterous/Dexterous_Grasp_Transformer.md,matched,29,OpenAlex,2026-09-23,https://openalex.org/W4402816741,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
"Dexterous Hand towards Intelligent Manufacturing: A Review of Technologies, Trends, and Potential Applications","02_Papers/09_Survey_Review/Dexterous_Hand_towards_Intelligent_Manufacturing_A_Review_of_Technologies,_Trends,_and_Pot.md",matched,49,OpenAlex,2026-09-23,https://openalex.org/W4409168415,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Dexterous Manipulation Transfer via Progressive Kinematic-Dynamic Alignment,02_Papers/04_Dexterous/Dexterous_Manipulation_Transfer_via_Progressive_Kinematic-Dynamic_Alignment.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W7138113519,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Diffusion-Based Imaginative Coordination for Bimanual Manipulation,02_Papers/03_Bimanual/Diffusion-Based_Imaginative_Coordination_for_Bimanual_Manipulation.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4414754983,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DiffusionVLA: Scaling Robot Foundation Models via Unified Diffusion and Autoregression,02_Papers/01_VLA/DiffusionVLA.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",02_Papers/01_VLA/SayCan.md,matched,523,OpenAlex,2026-09-23,https://openalex.org/W4224912544,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Dreamitate: Real-World Visuomotor Policy Learning via Video Generation,02_Papers/02_Robot_Manipulation/Dreamitate.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4400024954,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
DynScene: Scalable Generation of Dynamic Robotic Manipulation Scenes for Embodied AI,02_Papers/08_Data_Teleoperation/DynScene.md,matched,6,OpenAlex,2026-09-23,https://openalex.org/W4413147695,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Dynamic Test-Time Compute Scaling in Control Policy: Difficulty-Aware Stochastic Interpolant Policy,02_Papers/06_Diffusion_Flow_IL_RL/Dynamic_Test-Time_Compute_Scaling_in_Control_Policy_Difficulty-Aware_Stochastic_Interpolan.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7196975408,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
ET-SEED: Efficient Trajectory-Level SE(3) Equivariant Diffusion Policy,02_Papers/06_Diffusion_Flow_IL_RL/ET-SEED.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4404371741,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Enhancing LLM Planning for Robotics Manipulation through Hierarchical Procedural Knowledge Graphs,02_Papers/07_Generalization_LongHorizon/Enhancing_LLM_Planning_for_Robotics_Manipulation_through_Hierarchical_Procedural_Knowledge.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7196926233,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
EquiBot: SIM(3)-Equivariant Diffusion Policy for Generalizable and Data Efficient Learning,02_Papers/06_Diffusion_Flow_IL_RL/EquiBot.md,matched,4,OpenAlex,2026-09-23,https://openalex.org/W4400373516,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Equivariant Diffusion Policy,02_Papers/06_Diffusion_Flow_IL_RL/Equivariant_Diffusion_Policy.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Evaluating the Effect of State and Action Selection on In-Hand Manipulation Performance for Transferability,02_Papers/04_Dexterous/State_Action_Transferability.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
FlowPolicy: Enabling Fast and Robust 3D Flow-Based Policy via Consistency Flow Matching for Robot Manipulation,02_Papers/06_Diffusion_Flow_IL_RL/FlowPolicy.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
FoAM: Foresight-Augmented Multi-Task Imitation Policy for Robotic Manipulation,02_Papers/06_Diffusion_Flow_IL_RL/FoAM.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Forecasting Bimanual Object Manipulation Sequences from Unimanual Observations,02_Papers/03_Bimanual/Forecasting_Bimanual_Object_Manipulation_Sequences_from_Unimanual_Observations.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W4393158202,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency,02_Papers/06_Diffusion_Flow_IL_RL/FreqPolicy.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4417258107,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
GMAP: Generalized Manipulation of Articulated Objects in Robotic Using Pre-trained Model,02_Papers/07_Generalization_LongHorizon/GMAP.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Generalizable Domain Adaptation for Sim-and-Real Policy Co-Training,02_Papers/05_Sim2Real/Generalizable_Domain_Adaptation_for_Sim-and-Real_Policy_Co-Training.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4415251366,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Gentle Manipulation Policy Learning via Demonstrations from VLM Planned Atomic Skills,02_Papers/07_Generalization_LongHorizon/Gentle_Manipulation_Policy_Learning_via_Demonstrations_from_VLM_Planned_Atomic_Skills.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation,02_Papers/03_Bimanual/PPI_Bimanual.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4414050727,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
HAMSTER: Hierarchical Action Models for Open-World Robot Manipulation,02_Papers/07_Generalization_LongHorizon/HAMSTER.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4407384835,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Hierarchical Diffusion Policy for Kinematics-Aware Multi-Task Robotic Manipulation,02_Papers/06_Diffusion_Flow_IL_RL/Hierarchical_Diffusion_Policy_for_Kinematics-Aware_Multi-Task_Robotic_Manipulation.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
HumanoidGen: Data Generation for Bimanual Dexterous Manipulation via LLM Reasoning,02_Papers/03_Bimanual/HumanoidGen.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4417041439,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation,02_Papers/07_Generalization_LongHorizon/Instruction-Augmented_Long-Horizon_Planning_Embedding_Grounding_Mechanisms_in_Embodied_Mob.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Interactive Imitation Learning for Dexterous Robotic Manipulation: Challenges and Perspectives—a Survey,02_Papers/09_Survey_Review/Interactive_Imitation_Learning_for_Dexterous_Robotic_Manipulation_Challenges_and_Perspecti.md,matched,7,OpenAlex,2026-09-23,https://openalex.org/W4417483688,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Latent Action Pretraining from Videos,02_Papers/08_Data_Teleoperation/Latent_Action_Pretraining_from_Videos.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
LatentHOI: On the Generalizable Hand Object Motion Generation with Latent Hand Diffusion,02_Papers/04_Dexterous/LatentHOI.md,matched,4,OpenAlex,2026-09-23,https://openalex.org/W4413146191,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Learning Diffusion Policy from Primitive Skills for Robot Manipulation,02_Papers/06_Diffusion_Flow_IL_RL/Learning_Diffusion_Policy_from_Primitive_Skills_for_Robot_Manipulation.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Learning Diverse Bimanual Dexterous Manipulation Skills from Human Demonstrations,02_Papers/03_Bimanual/Learning_Diverse_Bimanual_Dexterous_Manipulation_Skills_from_Human_Demonstrations.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W7138037195,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Learning Object-Centric Motion Priors from Human for Robotic Dexterous Manipulation,02_Papers/04_Dexterous/Learning_Object-Centric_Motion_Priors_from_Human_for_Robotic_Dexterous_Manipulation.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Learning Robotic Manipulation Policies from Point Clouds with Conditional Flow Matching,02_Papers/06_Diffusion_Flow_IL_RL/Learning_Robotic_Manipulation_Policies_from_Point_Clouds_with_Conditional_Flow_Matching.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4403622102,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Learning by Watching: A Review of Video-Based Learning Approaches for Robot Manipulation,02_Papers/09_Survey_Review/Learning_by_Watching.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
MILES: Making Imitation Learning Easy with Self-Supervision,02_Papers/06_Diffusion_Flow_IL_RL/MILES.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
ManiWAV: Learning Robot Manipulation from In-the-Wild Audio-Visual Data,02_Papers/08_Data_Teleoperation/ManiWAV.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W4400222297,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
ManipLLM: Embodied Multimodal Large Language Model for Object-Centric Robotic Manipulation,02_Papers/02_Robot_Manipulation/ManipLLM.md,matched,82,OpenAlex,2026-09-23,https://openalex.org/W4402727730,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
ManipTrans: Efficient Dexterous Bimanual Manipulation Transfer via Residual Learning,02_Papers/03_Bimanual/ManipTrans.md,matched,13,OpenAlex,2026-09-23,https://openalex.org/W4413145126,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
MimicFunc: Imitating Tool Manipulation from a Single Human Video via Functional Correspondence,02_Papers/06_Diffusion_Flow_IL_RL/MimicFunc.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Mitigating the Human-Robot Domain Discrepancy in Visual Pre-training for Robotic Manipulation,02_Papers/07_Generalization_LongHorizon/Mitigating_the_Human-Robot_Domain_Discrepancy_in_Visual_Pre-training_for_Robotic_Manipulat.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation,02_Papers/01_VLA/MoManipVLA.md,matched,16,OpenAlex,2026-09-23,https://openalex.org/W4413147465,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Mobile ALOHA: Learning Bimanual Mobile Manipulation Using Low-Cost Whole-Body Teleoperation,02_Papers/03_Bimanual/Mobile_ALOHA.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Multimodal and Force-Matched Imitation Learning With a See-Through Visuotactile Sensor,02_Papers/06_Diffusion_Flow_IL_RL/Force_Matched_Visuotactile_IL.md,matched,14,OpenAlex,2026-09-23,https://openalex.org/W4405753615,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
OPEN TEACH: A Versatile Teleoperation System for Robotic Manipulation,02_Papers/08_Data_Teleoperation/OPEN_TEACH.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W4392781441,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
OWMM-Agent: Open World Mobile Manipulation With Multi-modal Agentic Data Synthesis,02_Papers/07_Generalization_LongHorizon/OWMM-Agent.md,matched,1,OpenAlex,2026-09-23,https://openalex.org/W7197036842,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Octo: An Open-Source Generalist Robot Policy,02_Papers/01_VLA/Octo.md,matched,102,OpenAlex,2026-09-23,https://openalex.org/W4402353985,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Open X-Embodiment: Robotic Learning Datasets and RT-X Models,02_Papers/10_Benchmark_Dataset/Open_X-Embodiment.md,matched,1192,Semantic Scholar,2026-09-23,https://www.semanticscholar.org/paper/ef7d31137ef06c5be8c2824ecc5af6ce3358cc8f,Exact arXiv ID and title; Semantic Scholar paper ID
OpenVLA: An Open-Source Vision-Language-Action Model,02_Papers/01_VLA/OpenVLA.md,matched,43,OpenAlex,2026-09-23,https://openalex.org/W4399695759,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Point Cloud Matters: Rethinking the Impact of Different Observation Spaces on Robot Learning,02_Papers/10_Benchmark_Dataset/Point_Cloud_Matters.md,matched,10,OpenAlex,2026-09-23,https://openalex.org/W4415797227,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
PointMapPolicy: Structured Point Cloud Processing for Multi-Modal Imitation Learning,02_Papers/06_Diffusion_Flow_IL_RL/PointMapPolicy.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4417082659,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Policy Decorator: Model-Agnostic Online Refinement for Large Policy Models,02_Papers/07_Generalization_LongHorizon/Policy_Decorator.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
RAM: Retrieval-Based Affordance Transfer for Generalizable Zero-Shot Robotic Manipulation,02_Papers/07_Generalization_LongHorizon/RAM.md,matched,2,OpenAlex,2026-09-23,https://openalex.org/W4400435236,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,02_Papers/03_Bimanual/RDT-1B.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
RGMP: Recurrent Geometric-prior Multimodal Policy for Generalizable Humanoid Robot Manipulation,02_Papers/07_Generalization_LongHorizon/RGMP.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Rapidly Adapting Policies to the Real-World via Simulation-Guided Fine-Tuning,02_Papers/05_Sim2Real/Rapidly_Adapting_Policies_to_the_Real-World_via_Simulation-Guided_Fine-Tuning.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
Real-Time Coordination of Multiple Robotic Arms With Reactive Trajectory Modulation,02_Papers/03_Bimanual/Reactive_Multiarm_Coordination.md,matched,10,OpenAlex,2026-09-23,https://openalex.org/W4404520558,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Real-Time Robot Execution with Masked Action Chunking,02_Papers/06_Diffusion_Flow_IL_RL/Real-Time_Robot_Execution_with_Masked_Action_Chunking.md,ambiguous,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
ReconVLA: Reconstructive Vision-Language-Action Model as Effective Robot Perceiver,02_Papers/01_VLA/ReconVLA.md,matched,3,OpenAlex,2026-09-23,https://openalex.org/W7137985120,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Rethinking Bimanual Robotic Manipulation: Learning with Decoupled Interaction Framework,02_Papers/03_Bimanual/Rethinking_Bimanual_Robotic_Manipulation_Learning_with_Decoupled_Interaction_Framework.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W4415101881,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
Robo2VLM: Improving Visual Question Answering using Large-Scale Robot Manipulation Data,02_Papers/08_Data_Teleoperation/Robo2VLM.md,matched,0,OpenAlex,2026-09-23,https://openalex.org/W7196982428,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
RoboCasa: Large-Scale Simulation of Household Tasks for Generalist Robots,02_Papers/10_Benchmark_Dataset/RoboCasa.md,matched,44,OpenAlex,2026-09-23,https://openalex.org/W4402354126,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
RoboGround: Robotic Manipulation with Grounded Vision-Language Priors,02_Papers/01_VLA/RoboGround.md,matched,10,OpenAlex,2026-09-23,https://openalex.org/W4413147462,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
RoboMamba: Efficient Vision-Language-Action Model for Robotic Reasoning and Manipulation,02_Papers/01_VLA/RoboMamba.md,matched,11,OpenAlex,2026-09-23,https://openalex.org/W4415797921,Exact normalized title + DOI/arXiv or author/year cross-check; ambiguous identities excluded
RoboMonkey: Scaling Test-Time Sampling and Verification for Vision-Language-Action Models,02_Papers/01_VLA/RoboMonkey.md,unmatched,Unknown,OpenAlex,2026-09-23,Unknown,Exact identity unresolved; OpenAlex/Semantic Scholar API availability limited follow-up
