Title,Card Path,Quick Summary Status,Summary Evidence,Source,Core Idea
Forecasting Bimanual Object Manipulation Sequences from Unimanual Observations,02_Papers/03_Bimanual/Forecasting_Bimanual_Object_Manipulation_Sequences_from_Unimanual_Observations.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W4393158202,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
HumanoidGen: Data Generation for Bimanual Dexterous Manipulation via LLM Reasoning,02_Papers/03_Bimanual/HumanoidGen.md,Evidence-backed,Official abstract / paper page,https://proceedings.neurips.cc/paper_files/paper/2025/hash/e4ef7454447baa15a424314e6284441b-Abstract-Conference.html,"- For robotic manipulation, existing robotics datasets and simulation benchmarks predominantly cater to robot-arm platforms."
Learning Diverse Bimanual Dexterous Manipulation Skills from Human Demonstrations,02_Papers/03_Bimanual/Learning_Diverse_Bimanual_Dexterous_Manipulation_Skills_from_Human_Demonstrations.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W7138037195,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
ManipTrans: Efficient Dexterous Bimanual Manipulation Transfer via Residual Learning,02_Papers/03_Bimanual/ManipTrans.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2025/html/Li_ManipTrans_Efficient_Dexterous_Bimanual_Manipulation_Transfer_via_Residual_Learning_CVPR_2025_paper.html,"- To address this, we introduce ManipTrans, a novel two-stage method for efficiently transferring human bimanual skills to dexterous robotic hands in simulation."
Mobile ALOHA: Learning Bimanual Mobile Manipulation Using Low-Cost Whole-Body Teleoperation,02_Papers/03_Bimanual/Mobile_ALOHA.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v270/fu25b.html,"In this work, we develop a system for imitating mobile manipulation tasks that are bimanual and require whole-body control."
Gripper Pose and Object Pointflow as Interfaces for Robotic Bimanual Manipulation,02_Papers/03_Bimanual/PPI_Bimanual.md,Evidence-backed,Official abstract / paper page,https://www.roboticsproceedings.org/rss21/p160.html,Use spatial interfaces to guide continuous bimanual actions.
RDT-1B: a Diffusion Foundation Model for Bimanual Manipulation,02_Papers/03_Bimanual/RDT-1B.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/49f80e4d2471ad4f2edf4f5f1ab62339-Abstract-Conference.html,"In this paper, we present the Robotics Diffusion Transformer (RDT), a pioneering diffusion foundation model for bimanual manipulation."
Real-Time Coordination of Multiple Robotic Arms With Reactive Trajectory Modulation,02_Papers/03_Bimanual/Reactive_Multiarm_Coordination.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W4404520558,Modulate demonstrated trajectories online while coordinating shared-space motion.
Rethinking Bimanual Robotic Manipulation: Learning with Decoupled Interaction Framework,02_Papers/03_Bimanual/Rethinking_Bimanual_Robotic_Manipulation_Learning_with_Decoupled_Interaction_Framework.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/ICCV2025/html/Jiang_Rethinking_Bimanual_Robotic_Manipulation_Learning_with_Decoupled_Interaction_Framework_ICCV_2025_paper.html,"- In this paper, we propose a novel decoupled interaction framework that considers the characteristics of different tasks in bimanual manipulation."
SafeBimanual: Diffusion-based trajectory optimization for safe bimanual manipulation,02_Papers/03_Bimanual/SafeBimanual.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v305/deng25c.html,"To this end, we propose a test-time trajectory optimization framework named SafeBimanual for any pre-trained diffusion-based bimanual manipulation policies, which imposes the safet"
TwinVLA: Data-Efficient Bimanual Manipulation with Twin Single-Arm Vision-Language-Action Models,02_Papers/03_Bimanual/TwinVLA.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2026/hash/65475a59e2a2cb707c9462e8a308e980-Abstract-Conference.html,"To address this challenge, we introduce TwinVLA, a modular framework that composes two copies of a pretrained single-arm VLA into a coordinated bimanual VLA."
VoxAct-B: Voxel-Based Acting and Stabilizing Policy for Bimanual Manipulation,02_Papers/03_Bimanual/VoxAct-B.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v270/liu25i.html,"To this end, we propose VoxAct-B, a language-conditioned, voxel-based method that leverages Vision Language Models (VLMs) to prioritize key regions within the scene and reconstruct"
You Only Teach Once: Learn One-Shot Bimanual Robotic Manipulation from Video Demonstrations,02_Papers/03_Bimanual/YOTO.md,Evidence-backed,Official abstract / paper page,https://www.roboticsproceedings.org/rss21/p149.html,One-shot human video becomes structured keyframe trajectories and scalable robot demonstrations.
Cross-Embodiment Dexterous Grasping with Reinforcement Learning,02_Papers/04_Dexterous/Cross-Embodiment_Dexterous_Grasping_with_Reinforcement_Learning.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/ca8c6f28d8ba1e732e3f217ab05c4ec0-Abstract-Conference.html,"Inspired by the capability of human hands to control various dexterous hands through teleoperation, we propose a universal action space based on the human hand's eigengrasps."
DexHandDiff: Interaction-aware Diffusion Planning for Adaptive Dexterous Manipulation,02_Papers/04_Dexterous/DexHandDiff.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2025/html/Liang_DexHandDiff_Interaction-aware_Diffusion_Planning_for_Adaptive_Dexterous_Manipulation_CVPR_2025_paper.html,"- In this work, we introduce DexHandDiff, an interaction-aware diffusion planning framework for adaptive dexterous manipulation."
DexTrack: Towards Generalizable Neural Tracking Control for Dexterous Manipulation from Human References,02_Papers/04_Dexterous/DexTrack.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/d5a1f97d2b922da92e880d13b7d2bf02-Abstract-Conference.html,"We introduce an approach that curates large-scale successful robot tracking demonstrations, comprising pairs of human references and robot actions, to train a neural controller."
DexUMI: Using Human Hand as the Universal Manipulation Interface for Dexterous Manipulation,02_Papers/04_Dexterous/DexUMI.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W4416623172,DexUMI includes hardware and software adaptations to minimize the embodiment gap between the human hand and various robot hands.
DexVLG: Dexterous Vision-Language-Grasp Model at Scale,02_Papers/04_Dexterous/DexVLG.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/ICCV2025/html/He_DexVLG_Dexterous_Vision-Language-Grasp_Model_at_Scale_ICCV_2025_paper.html,"DexVLG uses single-view RGB-D, a point-cloud encoder and Florence-2 language model with a flow-matching pose head. The head predicts hand-base translation/rotation and finger joint"
DextER: Language-driven Dexterous Grasp Generation with Embodied Reasoning,02_Papers/04_Dexterous/DextER.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_DextER_Language-driven_Dexterous_Grasp_Generation_with_Embodied_Reasoning_CVPR_2026_paper.html,"- We present DextER, Dexterous Grasp Generation with Embodied Reasoning, which introduces contact-based embodied reasoning for multi-finger manipulation."
Dexterous Grasp Transformer,02_Papers/04_Dexterous/Dexterous_Grasp_Transformer.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2024/html/Xu_Dexterous_Grasp_Transformer_CVPR_2024_paper.html,- In this work we propose a novel discriminative framework for dexterous grasp generation named Dexterous Grasp TRansformer (DGTR) capable of predicting a diverse set of feasible g
Dexterous Manipulation Transfer via Progressive Kinematic-Dynamic Alignment,02_Papers/04_Dexterous/Dexterous_Manipulation_Transfer_via_Progressive_Kinematic-Dynamic_Alignment.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W7138113519,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
LatentHOI: On the Generalizable Hand Object Motion Generation with Latent Hand Diffusion,02_Papers/04_Dexterous/LatentHOI.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2025/html/Li_LatentHOI_On_the_Generalizable_Hand_Object_Motion_Generation_with_Latent_CVPR_2025_paper.html,"- Generalization to unseen objects is essential for practical applications, yet it remains both challenging and largely unexplored.In this paper, we propose LatentHOI, a novel appr"
Learning Object-Centric Motion Priors from Human for Robotic Dexterous Manipulation,02_Papers/04_Dexterous/Learning_Object-Centric_Motion_Priors_from_Human_for_Robotic_Dexterous_Manipulation.md,Evidence-backed,Official abstract / paper page,https://ojs.aaai.org/index.php/AAAI/article/view/38892,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
Scaffolding Dexterous Manipulation with Vision-Language Models,02_Papers/04_Dexterous/Scaffolding_Dexterous_Manipulation_with_Vision-Language_Models.md,Evidence-backed,Official abstract / paper page,https://proceedings.neurips.cc/paper_files/paper/2025/hash/862644b156e51c35dea5a7446d640b14-Abstract-Conference.html,"- Dexterous robotic hands are essential for performing complex manipulation tasks, yet remain difficult to train due to the challenges of demonstration collection and high-dimensio"
Evaluating the Effect of State and Action Selection on In-Hand Manipulation Performance for Transferability,02_Papers/04_Dexterous/State_Action_Transferability.md,Evidence-backed,Official abstract / paper page,https://ieeexplore.ieee.org/document/10955245/,Reduce hand-specific state information to improve transfer robustness.
Towards Affordance-Aware Robotic Dexterous Grasping with Human-like Priors,02_Papers/04_Dexterous/Towards_Affordance-Aware_Robotic_Dexterous_Grasping_with_Human-like_Priors.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W7138302344,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
UniDex: A Robot Foundation Suite for Universal Dexterous Hand Control from Egocentric Human Videos,02_Papers/04_Dexterous/UniDex.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_UniDex_A_Robot_Foundation_Suite_for_Universal_Dexterous_Hand_Control_CVPR_2026_paper.html,UniDex constructs robot-centric trajectories from egocentric human videos using human-in-the-loop retargeting and explicit 3D point clouds. FAAS maps functionally similar actuators
UniGraspTransformer: Simplified Policy Distillation for Scalable Dexterous Robotic Grasping,02_Papers/04_Dexterous/UniGraspTransformer.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/CVPR2025/html/Wang_UniGraspTransformer_Simplified_Policy_Distillation_for_Scalable_Dexterous_Robotic_Grasping_CVPR_2025_paper.html,"- We introduce UniGraspTransformer, a universal Transformer-based network for dexterous robotic grasping that simplifies training while enhancing scalability and performance."
Generalizable Domain Adaptation for Sim-and-Real Policy Co-Training,02_Papers/05_Sim2Real/Generalizable_Domain_Adaptation_for_Sim-and-Real_Policy_Co-Training.md,Evidence-backed,Official abstract / paper page,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1185c89347a3f21ffc48c9d083c9437c-Abstract-Conference.html,"- In this work, we propose a unified sim-and-real co-training framework for learning generalizable manipulation policies that primarily leverages simulation and only requires a few"
Rapidly Adapting Policies to the Real-World via Simulation-Guided Fine-Tuning,02_Papers/05_Sim2Real/Rapidly_Adapting_Policies_to_the_Real-World_via_Simulation-Guided_Fine-Tuning.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/e68274fc4f158dbcbd4dddc672f7ee9c-Abstract-Conference.html,"This paper introduces the \emph{Simulation-Guided Fine-tuning} (SGFT) framework, which demonstrates how to extract structural priors from physics simulators to substantially accele"
Sim-to-Real Reinforcement Learning for Vision-Based Dexterous Manipulation on Humanoids,02_Papers/05_Sim2Real/Sim-to-Real_Reinforcement_Learning_for_Vision-Based_Dexterous_Manipulation_on_Humanoids.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v305/lin25c.html,"In this paper, we introduce a practical sim-to-real RL recipe that trains a humanoid robot to perform three challenging dexterous manipulation tasks: grasp-and-reach, box lift and "
Sim2Real-VLA: Zero-Shot Generalization of Synthesized Skills to Realistic Manipulation,02_Papers/05_Sim2Real/Sim2Real-VLA.md,Evidence-backed,Official abstract / paper page,https://edem-ai.github.io/sim2realvla.github.io/,The paper uses a dual-system design: a high-level planner infers chains of affordances and a low-level actor executes and validates tokenized actions. Automatic skill acquisition g
3D Diffuser Actor: Policy Diffusion with 3D Scene Representations,02_Papers/06_Diffusion_Flow_IL_RL/3D_Diffuser_Actor.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v270/ke25a.html,"Through thorough comparisons with the current SOTA policies and ablations of our model, we show 3D Diffuser Actor ’s design choices dramatically outperform 2D representations, regr"
AR-VRM: Imitating Human Motions for Visual Robot Manipulation with Analogical Reasoning,02_Papers/06_Diffusion_Flow_IL_RL/AR-VRM.md,Evidence-backed,Official abstract / paper page,https://openaccess.thecvf.com/content/ICCV2025/html/Yang_AR-VRM_Imitating_Human_Motions_for_Visual_Robot_Manipulation_with_Analogical_ICCV_2025_paper.html,"- In this paper, we propose to learn from large-scale human action video datasets in an explicit way (i.e., imitating human actions from hand keypoints), introduc- ing Visual Robot"
Action Chunking and Data Augmentation Yield Exponential Improvements in Behavior Cloning for Continuous Spaces,02_Papers/06_Diffusion_Flow_IL_RL/Action_Chunking_and_Data_Augmentation_Yield_Exponential_Improvements_in_Behavior_Cloning_f.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2026/hash/cd96cb9a239c37b39dbf34f3f5a4c56f-Abstract-Conference.html,"Though recent results show that learning from demonstration, also known as imitation learning (IL), can suffer errors that compound exponentially with task horizon in continuous se"
AutoCGP: Closed-Loop Concept-Guided Policies from Unlabeled Demonstrations,02_Papers/06_Diffusion_Flow_IL_RL/AutoCGP.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/6eed1e1d5ed52deee53234786998245e-Abstract-Conference.html,"In this work, we introduce a novel imitation learning framework to train closed-loop concept-guided policies that enhance long-horizon task performance by leveraging discovered man"
BAKU: An Efficient Transformer for Multi-Task Policy Learning,02_Papers/06_Diffusion_Flow_IL_RL/BAKU.md,Evidence-backed,Official abstract / paper page,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ff887781480973bd3cb6026feb378d1e-Abstract-Conference.html,"- In this work, we present BAKU, a simple transformer architecture that enables efficient learning of multi-task robot policies."
Bidirectional Decoding: Improving Action Chunking via Guided Test-Time Sampling,02_Papers/06_Diffusion_Flow_IL_RL/Bidirectional_Decoding.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/0d78dd998f7b9ac79604d47a2d79bb0d-Abstract-Conference.html,"To address this tradeoff, we propose Bidirectional Decoding (BID), a test-time inference algorithm that bridges action chunking with closed-loop adaptation."
Demystifying Robot Diffusion Policies: Action Memorization and a Simple Lookup Table Alternative,02_Papers/06_Diffusion_Flow_IL_RL/Demystifying_Robot_Diffusion_Policies_Action_Memorization_and_a_Simple_Lookup_Table_Altern.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2026/hash/122ea6470232ee5e79a2649243348005-Abstract-Conference.html,"As a simple alternative to Diffusion Policy, we introduce the Action Lookup Table (ALT) policy, showing that an explicit lookup table policy can perform comparably in this low data"
Dynamic Test-Time Compute Scaling in Control Policy: Difficulty-Aware Stochastic Interpolant Policy,02_Papers/06_Diffusion_Flow_IL_RL/Dynamic_Test-Time_Compute_Scaling_in_Control_Policy_Difficulty-Aware_Stochastic_Interpolan.md,Evidence-backed,Official abstract / paper page,https://proceedings.neurips.cc/paper_files/paper/2025/hash/49eadcc4a329fc6b74b9f8a82b78cbc3-Abstract-Conference.html,"- To address these issues, we introduce Difficulty-Aware Stochastic Interpolant Policy (DA-SIP), a framework that enables robotic controllers to adaptively adjust their integration"
ET-SEED: Efficient Trajectory-Level SE(3) Equivariant Diffusion Policy,02_Papers/06_Diffusion_Flow_IL_RL/ET-SEED.md,Evidence-backed,Official abstract / paper page,https://proceedings.iclr.cc/paper_files/paper/2025/hash/969a11f489c59c50c2cfe8c407c68a9b-Abstract-Conference.html,Website: https://et-seed.github.io/
EquiBot: SIM(3)-Equivariant Diffusion Policy for Generalizable and Data Efficient Learning,02_Papers/06_Diffusion_Flow_IL_RL/EquiBot.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v270/yang25a.html,"We propose EquiBot, a robust, data-efficient, and generalizable approach for robot manipulation task learning."
Equivariant Diffusion Policy,02_Papers/06_Diffusion_Flow_IL_RL/Equivariant_Diffusion_Policy.md,Evidence-backed,Official abstract / paper page,https://proceedings.mlr.press/v270/wang25a.html,"In this work, we propose Equivariant Diffusion Policy, a novel diffusion policy learning method that leverages domain symmetries to obtain better sample efficiency and generalizati"
FlowPolicy: Enabling Fast and Robust 3D Flow-Based Policy via Consistency Flow Matching for Robot Manipulation,02_Papers/06_Diffusion_Flow_IL_RL/FlowPolicy.md,Evidence-backed,Official abstract / paper page,https://ojs.aaai.org/index.php/AAAI/article/view/33617,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
FoAM: Foresight-Augmented Multi-Task Imitation Policy for Robotic Manipulation,02_Papers/06_Diffusion_Flow_IL_RL/FoAM.md,Evidence-backed,Official abstract / paper page,https://ojs.aaai.org/index.php/AAAI/article/view/38911,- 官方题名与元数据已确认；具体表述待补读官方摘要或正文。
Multimodal and Force-Matched Imitation Learning With a See-Through Visuotactile Sensor,02_Papers/06_Diffusion_Flow_IL_RL/Force_Matched_Visuotactile_IL.md,Evidence-backed,OpenAlex indexed abstract,https://api.openalex.org/works/W4405753615,Use see-through tactile feedback both during demonstration adaptation and policy execution.
FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency,02_Papers/06_Diffusion_Flow_IL_RL/FreqPolicy.md,Evidence-backed,Official abstract / paper page,https://proceedings.neurips.cc/paper_files/paper/2025/hash/282c3318be1b047b7bb5ba94fa4f3231-Abstract-Conference.html,"- To this end, we propose FreqPolicy, a novel approach that first imposes frequency consistency constraints on flow-based visuomotor policies."
